"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"FAM155A-IT1","Previous symbol","NALF1-IT1","NALF1 intronic transcript 1","HGNC:41503","13q33.3"
"FAM155B","Previous symbol","NALF2","NALCN channel auxiliary factor 2","HGNC:30701","Xq13.1"
"FAM159A","Previous symbol","SHISAL2A","shisa like 2A","HGNC:28757","1p32.3"
"FAM159B","Previous symbol","SHISAL2B","shisa like 2B","HGNC:34236","5q12.3"
"FAM160A1","Previous symbol","FHIP1A","FHF complex subunit HOOK interacting protein 1A","HGNC:34237","4q31.3"
"FAM160A2","Previous symbol","FHIP1B","FHF complex subunit HOOK interacting protein 1B","HGNC:25378","11p15.4"
"FAM160B1","Previous symbol","FHIP2A","FHF complex subunit HOOK interacting protein 2A","HGNC:29320","10q25.3"
"FAM160B2","Previous symbol","FHIP2B","FHF complex subunit HOOK interacting protein 2B","HGNC:16492","8p21.3"
"FAM166A","Previous symbol","CIMIP2A","ciliary microtubule inner protein 2A","HGNC:33818","9q34.3"
"FAM166B","Previous symbol","CIMIP2B","ciliary microtubule inner protein 2B","HGNC:34242","9p13.3"
"FAM169B","Previous symbol","FAM169BP","family with sequence similarity 169 member B, pseudogene","HGNC:26835","15q26.3"
"FAM173A","Previous symbol","ANTKMT","adenine nucleotide translocase lysine methyltransferase","HGNC:14152","16p13.3"
"FAM173B","Previous symbol","ATPSCKMT","ATP synthase c subunit lysine N-methyltransferase","HGNC:27029","5p15.2"
"FAM175A","Previous symbol","ABRAXAS1","abraxas 1, BRCA1 A complex subunit","HGNC:25829","4q21.23"
"FAM175B","Previous symbol","ABRAXAS2","abraxas 2, BRISC complex subunit","HGNC:28975","10q26.13"
"FAM179A","Previous symbol","TOGARAM2","TOG array regulator of axonemal microtubules 2","HGNC:33715","2p23.2"
"FAM179B","Previous symbol","TOGARAM1","TOG array regulator of axonemal microtubules 1","HGNC:19959","14q21.2"
"FAM183A","Previous symbol","CFAP144","cilia and flagella associated protein 144","HGNC:34347","1p34.2"
"FAM183B","Previous symbol","CFAP144P1","CFAP144 pseudogene 1","HGNC:34511","7p14.1"
"FAM183CP","Previous symbol","LINC02209","long intergenic non-protein coding RNA 2209","HGNC:27827","8p12"
"FAM188A","Previous symbol","MINDY3","MINDY lysine 48 deubiquitinase 3","HGNC:23578","10p13"
"FAM188B","Previous symbol","MINDY4","MINDY lysine 48 deubiquitinase 4","HGNC:21916","7p14.3"
"FAM189A1","Previous symbol","ENTREP2","endosomal transmembrane epsin interactor 2","HGNC:29075","15q13.1"
"FAM189A2","Previous symbol","ENTREP1","endosomal transmembrane epsin interactor 1","HGNC:24820","9q21.12"
"FAM189B","Previous symbol","ENTREP3","endosomal transmembrane epsin interactor 3","HGNC:1233","1q22"
"FAM192A","Previous symbol","PSME3IP1","proteasome activator subunit 3 interacting protein 1","HGNC:29856","16q13"
"FAM195A","Previous symbol","MCRIP2","MAPK regulated corepressor interacting protein 2","HGNC:14142","16p13.3"
"FAM195B","Previous symbol","MCRIP1","MAPK regulated corepressor interacting protein 1","HGNC:28007","17q25.3"
"FAM196A","Previous symbol","INSYN2A","inhibitory synaptic factor 2A","HGNC:33859","10q26.2"
"FAM196B","Previous symbol","INSYN2B","inhibitory synaptic factor family member 2B","HGNC:37271","5q35.1"
"FAM198A","Previous symbol","GASK1A","golgi associated kinase 1A","HGNC:24485","3p22.1"
"FAM198B","Previous symbol","GASK1B","golgi associated kinase 1B","HGNC:25312","4q32.1"
"FAM19A1","Previous symbol","TAFA1","TAFA chemokine like family member 1","HGNC:21587","3p14.1"
"FAM19A2","Previous symbol","TAFA2","TAFA chemokine like family member 2","HGNC:21589","12q14.1"
"FAM19A3","Previous symbol","TAFA3","TAFA chemokine like family member 3","HGNC:21590","1p13.2"
"FAM19A4","Previous symbol","TAFA4","TAFA chemokine like family member 4","HGNC:21591","3p14.1"
"FAM19A5","Previous symbol","TAFA5","TAFA chemokine like family member 5","HGNC:21592","22q13.32"
"FAM205A","Previous symbol","SPATA31F1","SPATA31 subfamily F member 1","HGNC:41911","9p13.3"
"FAM205BP","Previous symbol","SPATA31F2P","SPATA31 subfamily F member 2, pseudogene","HGNC:24504","9p13.3"
"FAM205C","Previous symbol","SPATA31F3","SPATA31 subfamily F member 3","HGNC:42673","9p13.3"
"FAM206A","Previous symbol","ABITRAM","actin binding transcription modulator","HGNC:1364","9q31.3"
"FAM207A","Previous symbol","SLX9","SLX9 ribosome biogenesis factor","HGNC:15811","21q22.3"
"FAM208A","Previous symbol","TASOR","transcription activation suppressor","HGNC:30314","3p14.3"
"FAM208B","Previous symbol","TASOR2","transcription activation suppressor family member 2","HGNC:23484","10p15.1"
"FAM212A","Previous symbol","INKA1","inka box actin regulator 1","HGNC:32480","3p21.31"
"FAM212B","Previous symbol","INKA2","inka box actin regulator 2","HGNC:28045","1p13.2"
"FAM212B-AS1","Previous symbol","INKA2-AS1","INKA2 antisense RNA 1","HGNC:49446","1p13.2"
"FAM213A","Previous symbol","PRXL2A","peroxiredoxin like 2A","HGNC:28651","10q23.1"
"FAM213B","Previous symbol","PRXL2B","peroxiredoxin like 2B","HGNC:28390","1p36.32"
"FAM214A","Previous symbol","ATOSA","atos homolog A","HGNC:25609","15q21.2-q21.3"
"FAM214B","Previous symbol","ATOSB","atos homolog B","HGNC:25666","9p13.3"
"FAM21A","Previous symbol","WASHC2A","WASH complex subunit 2A","HGNC:23416","10q11.23"
"FAM21C","Previous symbol","WASHC2C","WASH complex subunit 2C","HGNC:23414","10q11.22"
"FAM226A","Approved symbol","FAM226A","family with sequence similarity 226 member A","HGNC:28544","Xq13.1"
"FAM231A","Unmatched","","","",""
"FAM231B","Unmatched","","","",""
"FAM231C","Entry withdrawn","FAM231C","","HGNC:49508",""
"FAM231D","Entry withdrawn","FAM231D","","HGNC:49509",""
"FAM24B-CUZD1","Unmatched","","","",""
"FAM26D","Previous symbol","CALHM4","calcium homeostasis modulator family member 4","HGNC:21094","6q22.1"
"FAM26E","Previous symbol","CALHM5","calcium homeostasis modulator family member 5","HGNC:21568","6q22.1"
"FAM26F","Previous symbol","CALHM6","calcium homeostasis modulator family member 6","HGNC:33391","6q22.1"
"FAM27E2","Approved symbol","FAM27E2","family with sequence similarity 27 member E2","HGNC:32013","9p11.2"
"FAM27L","Previous symbol","FAM27E5","family with sequence similarity E5","HGNC:32410","17p11.2"
"FAM35A","Previous symbol","SHLD2","shieldin complex subunit 2","HGNC:28773","10q23.2"
"FAM35BP","Previous symbol","SHLD2P1","shieldin complex subunit 2 pseudogene 1","HGNC:31425","10q11.22"
"FAM35DP","Previous symbol","SHLD2P3","shieldin complex subunit 2 pseudogene 3","HGNC:34038","10q11.22"
"FAM45A","Previous symbol","DENND10","DENN domain containing 10","HGNC:31793","10q26.11"
"FAM45B","Previous symbol","DENND10P1","DENND10 pseudogene 1","HGNC:30886","Xq26.1"
"FAM46A","Previous symbol","TENT5A","terminal nucleotidyltransferase 5A","HGNC:18345","6q14.1"
"FAM46B","Previous symbol","TENT5B","terminal nucleotidyltransferase 5B","HGNC:28273","1p36.11"
"FAM46C","Previous symbol","TENT5C","terminal nucleotidyltransferase 5C","HGNC:24712","1p12"
"FAM46D","Previous symbol","TENT5D","terminal nucleotidyltransferase 5D","HGNC:28399","Xq21.1"
"FAM49A","Previous symbol","CYRIA","CYFIP related Rac1 interactor A","HGNC:25373","2p24.2"
"FAM49B","Previous symbol","CYRIB","CYFIP related Rac1 interactor B","HGNC:25216","8q24.21"
"FAM57A","Previous symbol","TLCD3A","TLC domain containing 3A","HGNC:29646","17p13.3"
"FAM57B","Previous symbol","TLCD3B","TLC domain containing 3B","HGNC:25295","16p11.2"
"FAM58A","Previous symbol","CCNQ","cyclin Q","HGNC:28434","Xq28"
"FAM60A","Previous symbol","SINHCAF","SIN3-HDAC complex associated factor","HGNC:30702","12p11.21"
"FAM63A","Previous symbol","MINDY1","MINDY lysine 48 deubiquitinase 1","HGNC:25648","1q21.3"
"FAM63B","Previous symbol","MINDY2","MINDY lysine 48 deubiquitinase 2","HGNC:26954","15q21.3-q22.1"
"FAM64A","Previous symbol","PIMREG","PICALM interacting mitotic regulator","HGNC:25483","17p13.2"
"FAM65A","Previous symbol","RIPOR1","RHO family interacting cell polarization regulator 1","HGNC:25836","16q22.1"
"FAM65B","Previous symbol","RIPOR2","RHO family interacting cell polarization regulator 2","HGNC:13872","6p22.3"
"FAM65C","Previous symbol","RIPOR3","RIPOR family member 3","HGNC:16168","20q13.13"
"FAM69A","Previous symbol","DIPK1A","divergent protein kinase domain 1A","HGNC:32213","1p22.1"
"FAM69B","Previous symbol","DIPK1B","divergent protein kinase domain 1B","HGNC:28290","9q34.3"
"FAM69C","Previous symbol","DIPK1C","divergent protein kinase domain 1C","HGNC:31729","18q22.3"
"FAM71A","Previous symbol","GARIN4","golgi associated RAB2 interactor family member 4","HGNC:26541","1q32.3"
"FAM71B","Previous symbol","GARIN3","golgi associated RAB2B interactor family member 3","HGNC:28397","5q33.3"
"FAM71C","Previous symbol","GARIN6","golgi associated RAB2 interactor family member 6","HGNC:28594","12q23.1"
"FAM71D","Previous symbol","GARIN2","golgi associated RAB2 interactor family member 2","HGNC:20101","14q23.3"
"FAM71E1","Previous symbol","GARIN5A","golgi associated RAB2 interactor 5A","HGNC:25107","19q13.33"
"FAM71E2","Previous symbol","GARIN5B","golgi associated RAB2 interactor family member 5B","HGNC:25278","19q13.42"
"FAM71F1","Previous symbol","GARIN1B","golgi associated RAB2 interactor 1B","HGNC:30704","7q32.1"
"FAM71F2","Previous symbol","GARIN1A","golgi associated RAB2 interactor 1A","HGNC:27998","7q32.1"
"FAM73A","Previous symbol","MIGA1","mitoguardin 1","HGNC:24741","1p31.1"
"FAM73B","Previous symbol","MIGA2","mitoguardin 2","HGNC:23621","9q34.11"
"FAM83H-AS1","Previous symbol","IQANK1","IQ motif and ankyrin repeat containing 1","HGNC:49576","8q24.3"
"FAM84A","Previous symbol","LRATD1","LRAT domain containing 1","HGNC:20743","2p24.3"
"FAM84B","Previous symbol","LRATD2","LRAT domain containing 2","HGNC:24166","8q24.21"
"FAM86C1","Previous symbol","FAM86C1P","family with sequence similarity 86 member C1, pseudogene","HGNC:25561","11q13.4"
"FAM90A10P","Previous symbol","FAM90A10","family with sequence similarity 90 member A10","HGNC:32258","8p23.1"
"FAM90A7P","Previous symbol","FAM90A7","family with sequence similarity 90 member A7","HGNC:32255","8p23.1"
"FAM92A1","Previous symbol","CIBAR1","CBY1 interacting BAR domain containing 1","HGNC:30452","8q22.1"
"FAM92A1P2","Previous symbol","CIBAR1P2","CIBAR1 pseudogene 2","HGNC:32287","4q35.1"
"FAM92B","Previous symbol","CIBAR2","CBY1 interacting BAR domain containing 2","HGNC:24781","16q24.1"
"FAM95C","Approved symbol","FAM95C","family with sequence similarity 95 member C","HGNC:45272","9p13.1"
"FAM96A","Previous symbol","CIAO2A","cytosolic iron-sulfur assembly component 2A","HGNC:26235","15q22.31"
"FAM96B","Previous symbol","CIAO2B","cytosolic iron-sulfur assembly component 2B","HGNC:24261","16q22.1"
"FAS-AS1","Approved symbol","FAS-AS1","FAS antisense RNA 1","HGNC:37128","10q23.31"
"FBXL21","Previous symbol","FBXL21P","F-box and leucine rich repeat protein 21, pseudogene","HGNC:13600","5q31.1"
"FBXO18","Previous symbol","FBH1","F-box DNA helicase 1","HGNC:13620","10p15.1"
"FBXO22-AS1","Entry withdrawn","FBXO22-AS1","","HGNC:31025",""
"FBXO3-AS1","Previous symbol","FBXO3-DT","FBXO3 divergent transcript","HGNC:51147","11p13"
"FCGR1B","Previous symbol","FCGR1BP","Fc gamma receptor Ib, pseudogene","HGNC:3614","1p11.2"
"FCGR1C","Previous symbol","FCGR1CP","Fc gamma receptor Ic, pseudogene","HGNC:3615","1q21.1"
"FDX1L","Previous symbol","FDX2","ferredoxin 2","HGNC:30546","19p13.2"
"FGFR1OP","Previous symbol","CEP43","centrosomal protein 43","HGNC:17012","6q27"
"FIGF","Previous symbol","VEGFD","vascular endothelial growth factor D","HGNC:3708","Xp22.2"
"FKBP1A-SDCBP2","Approved symbol","FKBP1A-SDCBP2","FKBP1A-SDCBP2 readthrough (NMD candidate)","HGNC:41997","20p13"
"FKSG29","Unmatched","","","",""
"FLJ10038","Alias symbol","GABPB1-IT1","GABPB1 intronic transcript","HGNC:25469","15q21.2"
"FLJ12825","Unmatched","","","",""
"FLJ13224","Unmatched","","","",""
"FLJ16171","Unmatched","","","",""
"FLJ16779","Unmatched","","","",""
"FLJ20021","Unmatched","","","",""
"FLJ21408","Unmatched","","","",""
"FLJ22447","Alias symbol","LINC03033","long intergenic non-protein coding RNA 3033","HGNC:44292","14q23"
"FLJ22763","Alias symbol","C3orf85","chromosome 3 open reading frame 85","HGNC:53432","3q13.13"
"FLJ23867","Unmatched","","","",""
"FLJ25758","Unmatched","","","",""
"FLJ26245","Alias symbol","LINC02167","long intergenic non-protein coding RNA 2167","HGNC:53028","16p11.1"
"FLJ26850","Alias symbol","ZNF473CR","ZNF473 cis regulating lncRNA","HGNC:56021","19q13.33"
"FLJ27354","Alias symbol","LRRC8C-DT","LRRC8C divergent transcript","HGNC:53731","1p22.2"
"FLJ30679","Unmatched","","","",""
"FLJ31104","Unmatched","","","",""
"FLJ31356","Unmatched","","","",""
"FLJ31662","Unmatched","","","",""
"FLJ32255","Unmatched","","","",""
"FLJ33360","Alias symbol","LINC02145","long intergenic non-protein coding RNA 2145","HGNC:53005","5p15.31"
"FLJ33534","Unmatched","","","",""
"FLJ33581","Unmatched","","","",""
"FLJ34503","Alias symbol","LINC02880","long intergenic non-protein coding RNA 2880","HGNC:54660","6q21"
"FLJ35934","Alias symbol","LINC02076","long intergenic non-protein coding RNA 2076","HGNC:52924","17p11.2"
"FLJ36000","Unmatched","","","",""
"FLJ36777","Unmatched","","","",""
"FLJ37035","Unmatched","","","",""
"FLJ37201","Unmatched","","","",""
"FLJ37453","Alias symbol","SPEN-AS1","SPEN antisense RNA 1","HGNC:55937","1p36.21"
"FLJ37505","Alias symbol","LINC02393","long intergenic non-protein coding RNA 2393","HGNC:53320","12q24.32"
"FLJ38122","Unmatched","","","",""
"FLJ38576","Unmatched","","","",""
"FLJ40194","Unmatched","","","",""
"FLJ40288","Unmatched","","","",""
"FLJ41200","Alias symbol","LINC01235","long intergenic non-protein coding RNA 1235","HGNC:49769","9p23"
"FLJ41278","Alias symbol","LINC02389","long intergenic non-protein coding RNA 2389","HGNC:53316","12q14.3"
"FLJ41941","Unmatched","","","",""
"FLJ42102","Unmatched","","","",""
"FLJ42351","Unmatched","","","",""
"FLJ42393","Unmatched","","","",""
"FLJ42627","Unmatched","","","",""
"FLJ42969","Alias symbol","SLEAR","STAT1 regulated ILF2 complex interacting lncRNA","HGNC:54824","8q22.3"
"FLJ43315","Unmatched","","","",""
"FLJ43879","Unmatched","","","",""
"FLJ44635","Unmatched","","","",""
"FLJ45079","Unmatched","","","",""
"FLJ45513","Unmatched","","","",""
"FLJ46066","Unmatched","","","",""
"FLJ46284","Unmatched","","","",""
"FLJ46906","Alias symbol","NHSL1-AS1","NHSL1 antisense RNA 1","HGNC:40947","6q24.1"
"FLVCR1-AS1","Previous symbol","FLVCR1-DT","FLVCR1 divergent transcript","HGNC:39077","1q32.3"
"FOPNL","Previous symbol","CEP20","centrosomal protein 20","HGNC:26435","16p13.11"
"FRMD6-AS1","Approved symbol","FRMD6-AS1","FRMD6 antisense RNA 1","HGNC:20129","14q22.1"
"FTH1P18","Previous symbol","FTHL18P","ferritin heavy chain like 18, pseudogene","HGNC:3988","Xp21.1"
"FTO-IT1","Approved symbol","FTO-IT1","FTO intronic transcript 1","HGNC:43758","16q12.2"
"FTSJ2","Previous symbol","MRM2","mitochondrial rRNA methyltransferase 2","HGNC:16352","7p22.3"
"FUK","Previous symbol","FCSK","fucose kinase","HGNC:29500","16q22.1"
"FYB","Previous symbol","FYB1","FYN binding protein 1","HGNC:4036","5p13.1"
"G6PC","Previous symbol","G6PC1","glucose-6-phosphatase catalytic subunit 1","HGNC:4056","17q21.31"
"GAGE12I","Approved symbol","GAGE12I","G antigen 12I","HGNC:4105","Xp11.23 not on reference assembly"
"GAGE2B","Approved symbol","GAGE2B","G antigen 2B","HGNC:31957","Xp11.23 not on reference assembly"
"GAGE2C","Approved symbol","GAGE2C","G antigen 2C","HGNC:31958","Xp11.23 not on reference assembly"
"GAGE2D","Approved symbol","GAGE2D","G antigen 2D","HGNC:31959","Xp11.23 not on reference assembly"
"GAGE4","Approved symbol","GAGE4","G antigen 4","HGNC:4101","Xp11.4-p11.2 not on reference assembly"
"GAGE5","Approved symbol","GAGE5","G antigen 5","HGNC:4102","Xp11.4-p11.2 not on reference assembly"
"GAGE6","Approved symbol","GAGE6","G antigen 6","HGNC:4103","Xp11.4-p11.2 not on reference assembly"
"GAGE7","Approved symbol","GAGE7","G antigen 7","HGNC:4104","Xp11.4-p11.2 not on reference assembly"
"GAGE8","Approved symbol","GAGE8","G antigen 8","HGNC:4106","Xp11 not on reference assembly"
"GAGE8","Alias symbol","GAGE2E","G antigen 2E","HGNC:31960","Xp11.23"
"GAGE8","Alias symbol","GAGE2D","G antigen 2D","HGNC:31959","Xp11.23 not on reference assembly"
"GAREM","Previous symbol","GAREM1","GRB2 associated regulator of MAPK1 subtype 1","HGNC:26136","18q12.1"
"GAREML","Previous symbol","GAREM2","GRB2 associated regulator of MAPK1 subtype 2","HGNC:27172","2p23.3"
"GARS","Previous symbol","GARS1","glycyl-tRNA synthetase 1","HGNC:4162","7p14.3"
"GAS6-AS2","Previous symbol","GAS6-DT","GAS6 divergent transcript","HGNC:43694","13q34"
"GATS","Previous symbol","CASTOR3P","CASTOR family member 3, pseudogene","HGNC:29954","7q22.1"
"GATSL2","Previous symbol","CASTOR2","cytosolic arginine sensor for mTORC1 subunit 2","HGNC:37073","7q11.23"
"GATSL3","Previous symbol","CASTOR1","cytosolic arginine sensor for mTORC1 subunit 1","HGNC:34423","22q12.2"
"GBA","Previous symbol","GBA1","glucosylceramidase beta 1","HGNC:4177","1q22"
"GBAS","Previous symbol","NIPSNAP2","nipsnap homolog 2","HGNC:4179","7p11.2"
"GBAT2","Alias symbol","RFX5-AS1","RFX5 antisense RNA 1","HGNC:40503","1q21.3"
"GCSAML-AS1","Approved symbol","GCSAML-AS1","GCSAML antisense RNA 1","HGNC:41244","1q44"
"GGTA1P","Previous symbol","GGTA1","glycoprotein alpha-galactosyltransferase 1 (inactive)","HGNC:4253","9q33.2"
"GGTA1P","Previous symbol","GGTA2P","glycoprotein alpha-galactosyltransferase 2, pseudogene","HGNC:4254","12q14.3"
"GIF","Previous symbol","CBLIF","cobalamin binding intrinsic factor","HGNC:4268","11q12.1"
"GIF","Alias symbol","MT3","metallothionein 3","HGNC:7408","16q13"
"GIF","Alias symbol","MIF","macrophage migration inhibitory factor","HGNC:7097","22q11.23"
"GJA9-MYCBP","Unmatched","","","",""
"GK3P","Previous symbol","GK3","glycerol kinase 3","HGNC:4292","4q32.3"
"GLTSCR1","Previous symbol","BICRA","BRD4 interacting chromatin remodeling complex associated protein","HGNC:4332","19q13.33"
"GLTSCR1L","Previous symbol","BICRAL","BICRA like chromatin remodeling complex associated protein","HGNC:21111","6p21.1"
"GLTSCR2","Previous symbol","NOP53","NOP53 ribosome biogenesis factor","HGNC:4333","19q13.33"
"GLUD1P7","Previous symbol","GLUD1P2","glutamate dehydrogenase 1 pseudogene 2","HGNC:4337","10q11.22"
"GM140","Alias symbol","LINC01699","long intergenic non-protein coding RNA 1699","HGNC:52487","1q25.3"
"GMCL1P1","Previous symbol","GMCL2","germ cell-less 2, spermatogenesis associated","HGNC:19717","5q35.3"
"GMDS-AS1","Previous symbol","GMDS-DT","GMDS divergent transcript","HGNC:48993","6p25.3-p25.2"
"GNB2L1","Previous symbol","RACK1","receptor for activated C kinase 1","HGNC:4399","5q35.3"
"GOLGA6L3","Previous symbol","GOLGA6L3P","golgin A6 family like 3, pseudogene","HGNC:37441","15q25.3"
"GOLGA6L7P","Previous symbol","GOLGA6L7","golgin A6 family like 7","HGNC:37442","15q13.1"
"GPR1","Previous symbol","CMKLR2","chemerin chemokine-like receptor 2","HGNC:4463","2q33.3"
"GPR1-AS","Previous symbol","CMKLR2-AS","CMKLR2 antisense RNA","HGNC:48602","2q33.3"
"GPR75-ASB3","Approved symbol","GPR75-ASB3","GPR75-ASB3 readthrough","HGNC:40043","2p16.2"
"GRAMD2","Previous symbol","GRAMD2A","GRAM domain containing 2A","HGNC:27287","15q23"
"GRAMD3","Previous symbol","GRAMD2B","GRAM domain containing 2B","HGNC:24911","5q23.2"
"GRASP","Previous symbol","TAMALIN","trafficking regulator and scaffold protein tamalin","HGNC:18707","12q13.13"
"GRIK1-AS2","Approved symbol","GRIK1-AS2","GRIK1 antisense RNA 2","HGNC:1282","21q22.11"
"GS1-124K5.11","Unmatched","","","",""
"GS1-24F4.2","Unmatched","","","",""
"GS1-259H13.2","Unmatched","","","",""
"GS1-279B7.1","Unmatched","","","",""
"GS1-594A7.3","Alias symbol","ACE2-DT","ACE2 divergent transcript","HGNC:56255","Xp22.2"
"GS1-600G8.3","Unmatched","","","",""
"GSG2","Previous symbol","HASPIN","histone H3 associated protein kinase","HGNC:19682","17p13.2"
"GSTTP1","Previous symbol","GSTT4","glutathione S-transferase theta 4","HGNC:26930","22q11.23"
"GSTTP2","Approved symbol","GSTTP2","glutathione S-transferase theta pseudogene 2","HGNC:33606","22q11.23 alternate reference locus"
"GTSE1-AS1","Previous symbol","GTSE1-DT","GTSE1 divergent transcript","HGNC:27163","22q13.31"
"GUCY1A3","Previous symbol","GUCY1A1","guanylate cyclase 1 soluble subunit alpha 1","HGNC:4685","4q32.1"
"GUCY1B3","Previous symbol","GUCY1B1","guanylate cyclase 1 soluble subunit beta 1","HGNC:4687","4q32.1"
"GYLTL1B","Previous symbol","LARGE2","LARGE xylosyl- and glucuronyltransferase 2","HGNC:16522","11p11.2"
"H1F0","Previous symbol","H1-0","H1.0 linker histone","HGNC:4714","22q13.1"
"H1FNT","Previous symbol","H1-7","H1.7 linker histone","HGNC:24893","12q13.11"
"H1FOO","Previous symbol","H1-8","H1.8 linker histone","HGNC:18463","3q22.1"
"H1FX","Previous symbol","H1-10","H1.10 linker histone","HGNC:4722","3q21.3"
"H1FX-AS1","Previous symbol","H1-10-AS1","H1-10 antisense RNA 1","HGNC:27953","3q21.3"
"H2AFB1","Previous symbol","H2AB1","H2A.B variant histone 1","HGNC:22516","Xq28"
"H2AFB2","Previous symbol","H2AB2","H2A.B variant histone 2","HGNC:18298","Xq28"
"H2AFB3","Previous symbol","H2AB3","H2A.B variant histone 3","HGNC:14455","Xq28"
"H2AFJ","Previous symbol","H2AJ","H2A.J histone","HGNC:14456","12p12.3"
"H2AFV","Previous symbol","H2AZ2","H2A.Z variant histone 2","HGNC:20664","7p13"
"H2AFX","Previous symbol","H2AX","H2A.X variant histone","HGNC:4739","11q23.3"
"H2AFY","Previous symbol","MACROH2A1","macroH2A.1 histone","HGNC:4740","5q31.1"
"H2AFY2","Previous symbol","MACROH2A2","macroH2A.2 histone","HGNC:14453","10q22.1"
"H2AFZ","Previous symbol","H2AZ1","H2A.Z variant histone 1","HGNC:4741","4q23"
"H2BFM","Previous symbol","H2BW2","H2B.W histone 2","HGNC:27867","Xq22.2"
"H2BFWT","Previous symbol","H2BW1","H2B.W histone 1","HGNC:27252","Xq22.2"
"H2BFXP","Previous symbol","H2BW4P","H2B.W histone 4, pseudogene","HGNC:25757","Xq22.2"
"H3F3A","Previous symbol","H3-3A","H3.3 histone A","HGNC:4764","1q42.12"
"H3F3AP4","Previous symbol","H3P6","H3 histone pseudogene 6","HGNC:42980","2q31.1"
"H3F3B","Previous symbol","H3-3B","H3.3 histone B","HGNC:4765","17q25.1"
"H3F3C","Previous symbol","H3-5","H3.5 histone","HGNC:33164","12p11.21"
"HARS","Previous symbol","HARS1","histidyl-tRNA synthetase 1","HGNC:4816","5q31.3"
"HAVCR1P1","Approved symbol","HAVCR1P1","hepatitis A virus cellular receptor 1 pseudogene 1","HGNC:44033","19p12"
"HCG2040054","Unmatched","","","",""
"HCG23","Approved symbol","HCG23","HLA complex group 23","HGNC:19713","6p21.32"
"HCG26","Approved symbol","HCG26","HLA complex group 26","HGNC:29671","6p21.3"
"HCG8","Previous symbol","POLR1HASP","POLR1H antisense, pseudogene","HGNC:13924","6p22.1"
"HDGFRP2","Alias symbol","HDGFL2","HDGF like 2","HGNC:14680","19p13.3"
"HDGFRP3","Alias symbol","HDGFL3","HDGF like 3","HGNC:24937","15q25.2"
"HDHD1","Previous symbol","PUDP","pseudouridine 5'-phosphatase","HGNC:16818","Xp22.31"
"HECTD2-AS1","Approved symbol","HECTD2-AS1","HECTD2 antisense RNA 1","HGNC:48679","10q23.32"
"HEXDC","Previous symbol","HEXD","hexosaminidase D","HGNC:26307","17q25.3"
"HFE2","Previous symbol","HJV","hemojuvelin BMP co-receptor","HGNC:4887","1q21.1"
"HGC6.3","Unmatched","","","",""
"HHLA3","Previous symbol","ANKRD13C-DT","ANKRD13C divergent transcript","HGNC:4906","1p31.1"
"HIAT1","Previous symbol","MFSD14A","major facilitator superfamily domain containing 14A","HGNC:23363","1p21.2"
"HIATL1","Previous symbol","MFSD14B","major facilitator superfamily domain containing 14B","HGNC:23376","9q22.32"
"HIATL2","Previous symbol","MFSD14CP","major facilitator superfamily domain containing 14C, pseudogene","HGNC:23672","9q22.33"
"HIF1A-AS2","Approved symbol","HIF1A-AS2","HIF1A antisense RNA 2","HGNC:43015","14q23.2"
"HILS1","Previous symbol","H1-9P","H1.9 linker histone, pseudogene","HGNC:30616","17q21.33"
"HIST1H1A","Previous symbol","H1-1","H1.1 linker histone, cluster member","HGNC:4715","6p22.2"
"HIST1H1B","Previous symbol","H1-5","H1.5 linker histone, cluster member","HGNC:4719","6p22.1"
"HIST1H1C","Previous symbol","H1-2","H1.2 linker histone, cluster member","HGNC:4716","6p22.2"
"HIST1H1D","Previous symbol","H1-3","H1.3 linker histone, cluster member","HGNC:4717","6p22.2"
"HIST1H1E","Previous symbol","H1-4","H1.4 linker histone, cluster member","HGNC:4718","6p22.2"
"HIST1H1T","Previous symbol","H1-6","H1.6 linker histone, cluster member","HGNC:4720","6p22.2"
"HIST1H2AA","Previous symbol","H2AC1","H2A clustered histone 1","HGNC:18729","6p22.2"
"HIST1H2AB","Previous symbol","H2AC4","H2A clustered histone 4","HGNC:4734","6p22.2"
"HIST1H2AC","Previous symbol","H2AC6","H2A clustered histone 6","HGNC:4733","6p22.2"
"HIST1H2AD","Previous symbol","H2AC7","H2A clustered histone 7","HGNC:4729","6p22.2"
"HIST1H2AE","Previous symbol","H2AC8","H2A clustered histone 8","HGNC:4724","6p22.2"
"HIST1H2AG","Previous symbol","H2AC11","H2A clustered histone 11","HGNC:4737","6p22.1"
"HIST1H2AH","Previous symbol","H2AC12","H2A clustered histone 12","HGNC:13671","6p22.1"
"HIST1H2AI","Previous symbol","H2AC13","H2A clustered histone 13","HGNC:4725","6p22.1"
"HIST1H2AJ","Previous symbol","H2AC14","H2A clustered histone 14","HGNC:4727","6p22.1"
"HIST1H2AK","Previous symbol","H2AC15","H2A clustered histone 15","HGNC:4726","6p22.1"
"HIST1H2AL","Previous symbol","H2AC16","H2A clustered histone 16","HGNC:4730","6p22.1"
"HIST1H2AM","Previous symbol","H2AC17","H2A clustered histone 17","HGNC:4735","6p22.1"
"HIST1H2APS1","Previous symbol","H2AC2P","H2A clustered histone 2, pseudogene","HGNC:18720","6p22.2"
"HIST1H2BA","Previous symbol","H2BC1","H2B clustered histone 1","HGNC:18730","6p22.2"
